model_class,config_repr,mean_rho,std_rho,mean_mae
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 10}",0.242245,0.014870,321.063853
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 20}",0.242335,0.015349,321.165926
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 50}",0.239966,0.014840,322.220046
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 10}",0.242827,0.014887,322.488425
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 20}",0.241633,0.015227,322.987616
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 50}",0.239635,0.015122,325.024337
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 10}",0.240500,0.014915,324.747242
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 20}",0.241341,0.016076,325.606870
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.02, 'num_leaves': 63, 'min_child_samples': 50}",0.239220,0.016808,327.805722
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 10}",0.232008,0.012141,333.860789
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 20}",0.231108,0.015307,335.005628
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 15, 'min_child_samples': 50}",0.228597,0.013304,336.148946
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 10}",0.232615,0.014602,336.689782
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 20}",0.231809,0.016396,337.624406
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 31, 'min_child_samples': 50}",0.227517,0.012853,340.044404
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 10}",0.227872,0.016199,340.326395
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 20}",0.227349,0.015855,341.521228
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.05, 'num_leaves': 63, 'min_child_samples': 50}",0.223629,0.011223,343.730823
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 10}",0.231239,0.016155,341.426030
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 20}",0.228697,0.013091,342.691083
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 15, 'min_child_samples': 50}",0.224394,0.013900,344.427398
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 10}",0.221925,0.015652,345.916810
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 20}",0.219426,0.014565,347.328445
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 31, 'min_child_samples': 50}",0.219787,0.010254,348.626830
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 10}",0.219008,0.015239,351.385770
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 20}",0.213600,0.018229,352.473737
lightgbm,"{'n_estimators': 100, 'learning_rate': 0.1, 'num_leaves': 63, 'min_child_samples': 50}",0.211570,0.014234,356.517723
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 10}",0.235260,0.013430,330.498964
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 20}",0.235143,0.014087,331.159932
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.02, 'num_leaves': 15, 'min_child_samples': 50}",0.231482,0.014084,332.747220
lightgbm,"{'n_estimators': 200, 'learning_rate': 0.02, 'num_leaves': 31, 'min_child_samples': 10}",0.235375,0.014062,333.389718
